codigo,bairro,categoria_principal,categoria_secundaria,qtde,ano,mês
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2008,7
E01032739,Cidade de Londres,Violência contra a pessoa,Assédio,0,2015,10
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,1,2012,1
E01000005,Cidade de Londres,Violência contra a pessoa,Assédio,0,2015,1
E01000001,Cidade de Londres,Violência contra a pessoa,Assédio,0,2012,7
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,0,2008,4
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2009,1
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2016,8
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2015,3
E01000001,Cidade de Londres,Violência contra a pessoa,Assédio,0,2009,11
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2012,2
E01000001,Cidade de Londres,Violência contra a pessoa,Assédio,0,2011,9
E01032739,Cidade de Londres,Violência contra a pessoa,Assédio,0,2010,2
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,0,2008,11
E01032739,Cidade de Londres,Violência contra a pessoa,Assédio,2,2016,1
E01032739,Cidade de Londres,Violência contra a pessoa,Assédio,0,2009,5
E01000005,Cidade de Londres,Violência contra a pessoa,Assédio,0,2008,6
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2014,7
E01000001,Cidade de Londres,Violência contra a pessoa,Assédio,0,2009,3
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,0,2016,5
E01032739,Cidade de Londres,Violência contra a pessoa,Assédio,0,2013,6
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2016,12
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2011,8
E01032739,Cidade de Londres,Violência contra a pessoa,Assédio,0,2013,8
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,0,2013,9
E01000001,Cidade de Londres,Violência contra a pessoa,Assédio,0,2008,6
E01000005,Cidade de Londres,Violência contra a pessoa,Assédio,0,2008,2
E01000005,Cidade de Londres,Violência contra a pessoa,Assédio,0,2014,12
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,0,2008,7
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2012,3
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,0,2010,12
E01000005,Cidade de Londres,Violência contra a pessoa,Assédio,1,2016,1
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2013,12
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,0,2014,11
E01000005,Cidade de Londres,Violência contra a pessoa,Assédio,0,2016,6
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2008,10
E01000001,Cidade de Londres,Violência contra a pessoa,Assédio,0,2016,5
E01000005,Cidade de Londres,Violência contra a pessoa,Assédio,0,2011,6
E01000001,Cidade de Londres,Violência contra a pessoa,Assédio,0,2010,11
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,0,2014,3
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2009,3
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,0,2011,6
E01000001,Cidade de Londres,Violência contra a pessoa,Assédio,0,2009,4
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2013,5
E01000001,Cidade de Londres,Violência contra a pessoa,Assédio,0,2014,4
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,0,2015,11
E01032739,Cidade de Londres,Violência contra a pessoa,Assédio,1,2015,11
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2016,11
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2009,11
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2014,4
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2013,11
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,0,2009,1
E01000005,Cidade de Londres,Violência contra a pessoa,Assédio,1,2012,2
E01000001,Cidade de Londres,Violência contra a pessoa,Assédio,0,2016,4
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2012,12
E01000001,Cidade de Londres,Violência contra a pessoa,Assédio,0,2013,11
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,0,2016,6
E01032739,Cidade de Londres,Violência contra a pessoa,Assédio,0,2008,4
E01032739,Cidade de Londres,Violência contra a pessoa,Assédio,0,2015,8
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,0,2009,12
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2015,5
E01032739,Cidade de Londres,Violência contra a pessoa,Assédio,0,2014,12
E01000001,Cidade de Londres,Violência contra a pessoa,Assédio,0,2016,11
E01032739,Cidade de Londres,Violência contra a pessoa,Assédio,1,2013,4
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2012,6
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2015,6
E01000005,Cidade de Londres,Violência contra a pessoa,Assédio,0,2009,12
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2015,9
E01032739,Cidade de Londres,Violência contra a pessoa,Assédio,0,2009,10
E01000005,Cidade de Londres,Violência contra a pessoa,Assédio,0,2012,11
E01000005,Cidade de Londres,Violência contra a pessoa,Assédio,0,2012,3
E01000001,Cidade de Londres,Violência contra a pessoa,Assédio,0,2008,4
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,0,2011,2
E01032740,Cidade de Londres,Violência contra a pessoa,Assédio,0,2010,2
E01032739,Cidade de Londres,Violência contra a pessoa,Assédio,0,2008,7
E01000002,Cidade de Londres,Violência contra a pessoa,Assédio,0,2010,10
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,4
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2015,12
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2013,11
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2015,3
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2014,11
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,1
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2009,8
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2014,2
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2014,7
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2013,6
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2010,5
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2009,5
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2012,8
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,2,2012,5
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,3
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,3,2016,8
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2009,9
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2010,11
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,8
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2012,1
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,7
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2009,7
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,2,2013,6
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2012,4
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,1
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,2,2015,11
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2009,9
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2013,3
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,5
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2014,2
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,4
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2011,10
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2009,10
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,3,2016,9
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2010,2
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,7
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2009,4
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2015,6
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,4,2011,12
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,2
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2009,3
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2013,8
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2009,2
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,9
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2013,4
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,2
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2012,4
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2011,12
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2013,4
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,2,2016,10
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2014,1
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2009,1
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2016,8
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2010,10
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2012,10
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,8
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2015,5
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,10
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2014,5
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,2,2012,2
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2011,9
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2014,6
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2013,7
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,8
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2009,11
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,3
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2013,12
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2010,5
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,3
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2010,12
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2012,9
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2011,10
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2015,9
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,2,2016,12
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,1
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,2,2015,12
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2012,3
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2012,9
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2010,9
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,2
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2014,12
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2012,5
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2012,11
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,5
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2010,7
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,4,2012,2
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2014,11
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2015,3
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2013,7
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,5
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2009,5
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,12
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2015,2
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2013,10
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2010,11
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,7
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2010,3
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2014,7
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,11
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,4
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2009,5
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,8
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,2
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2015,4
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,5
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,4
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,2,2012,11
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2016,11
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,3
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2015,10
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2012,9
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,1
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2013,3
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,11
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,5
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,7
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2013,4
E01032739,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2008,12
E01032739,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2009,11
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2013,6
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,11
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2008,10
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,7
E01032739,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2014,9
E01032740,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2014,11
E01000003,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,1,2016,7
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2010,10
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2010,2
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2014,5
E01032740,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,5
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2010,1
E01032740,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,8
E01032739,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2008,4
E01032740,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2008,12
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2009,4
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2008,5
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,5
E01032739,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2009,3
E01032740,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2010,12
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,1,2014,9
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,4
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,2
E01000003,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2014,8
E01000003,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2015,8
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,9
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2010,8
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2010,3
E01032740,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2008,6
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,4
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2015,9
E01000003,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2016,10
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,1
E01032739,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2016,10
E01032739,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2014,3
E01000003,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2014,6
E01000002,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2016,1
E01032740,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2009,1
E01000005,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2011,10
E01000005,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2014,6
E01000001,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2008,2
E01000003,Cidade de Londres,Violência contra a pessoa,Agressão comum,0,2011,5
